Year,Dim,Field Power,XOR,iXOR,XTIME,iXTIME,ID
2018,3,8,9,48,9,63,duwal_2_int_x^8 + x^7 + x^6 + x^5 + x^4 + x^3 + 1
2018,3,2,8,8,4,4,duwal_3_int_x^2 + x + 1
2018,3,4,8,8,4,4,duwal_3_int_x^4 + x + 1
2018,3,4,8,8,4,4,duwal_3_int_x^4 + x^3 + 1
2018,3,4,8,8,4,4,duwal_3_int_x^4 + x^3 + x^2 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^4 + x^3 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^4 + x^3 + x^2 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^5 + x^3 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^5 + x^3 + x^2 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^5 + x^4 + x^3 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^5 + x^4 + x^3 + x^2 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^6 + x^3 + x^2 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^6 + x^4 + x^3 + x^2 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^6 + x^5 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^6 + x^5 + x^2 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^6 + x^5 + x^3 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^6 + x^5 + x^4 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^6 + x^5 + x^4 + x^2 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^6 + x^5 + x^4 + x^3 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^2 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^3 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^3 + x^2 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^4 + x^3 + x^2 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^5 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^5 + x^3 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^5 + x^4 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^6 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^6 + x^3 + x^2 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^6 + x^4 + x^2 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^6 + x^4 + x^3 + x^2 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^6 + x^5 + x^2 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^6 + x^5 + x^4 + x + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^6 + x^5 + x^4 + x^2 + 1
2018,3,8,8,8,4,4,duwal_3_int_x^8 + x^7 + x^6 + x^5 + x^4 + x^3 + 1
2018,3,2,8,8,4,4,duwal_3_inv_int_x^2 + x + 1
2018,3,4,8,8,4,4,duwal_3_inv_int_x^4 + x + 1
