8,shirai-12,80,80,424,288,shirai-10,80,88,424,224
8,shirai-0,88,72,400,240,shirai-0,88,72,400,240
8,shirai-2,88,72,360,224,shirai-2,88,72,360,224
8,shirai-4,88,80,424,240,shirai-7,88,72,360,224
8,shirai-6,88,80,416,256,shirai-13,88,72,400,240
16,mat:gupta_ray_4,1248,800,---,---,mat:gupta_ray_4,1248,800,---,---
16,mat:khoo-5,1408,832,---,---,mat:khoo-5,1408,832,---,---
16,mat:khoo-11,1456,784,1600,1232,mat:khoo-11,1456,784,1600,1232
32,mat:gupta_ray_5,5440,3712,---,---,mat:gupta_ray_5,5440,3712,---,---
32,mat:khoo-12,5696,3648,6336,4608,mat:khoo-6,5728,3264,---,---
32,mat:khoo-6,5728,3264,---,---,mat:khoo-12,5696,3648,6336,4608
