2,LightweightGF22016,4,xr2,ixr8,xt2,ixt10,beierle_2x2,beierle_2x2-inv
2,LightweightGF22016,8,xr2,ixr16,xt2,ixt26,beierle_2x2,beierle_2x2-inv
3,LightweightGF22016,4,xr6,ixr21,xt3,ixt21,beierle_3x3,beierle_3x3-inv
3,LightweightGF22016,8,xr6,ixr39,xt3,ixt57,beierle_3x3,beierle_3x3-inv
2,LightweightGF22016,4,xr8,ixr2,xt10,ixt2,beierle_2x2_inv_alpha_2,beierle_2x2_inv_alpha_2-inv
2,LightweightGF22016,4,xr6,ixr4,xt10,ixt2,beierle_2x2_inv_alpha_3,beierle_2x2_inv_alpha_3-inv
2,LightweightGF22016,4,xr4,ixr2,xt8,ixt4,beierle_2x2_inv_alpha_4,beierle_2x2_inv_alpha_4-inv
2,LightweightGF22016,4,xr8,ixr4,xt8,ixt4,beierle_2x2_inv_alpha_5,beierle_2x2_inv_alpha_5-inv
2,LightweightGF22016,4,xr6,ixr4,xt4,ixt4,beierle_2x2_inv_alpha_6,beierle_2x2_inv_alpha_6-inv
2,LightweightGF22016,4,xr4,ixr6,xt4,ixt4,beierle_2x2_inv_alpha_7,beierle_2x2_inv_alpha_7-inv
2,LightweightGF22016,4,xr4,ixr2,xt8,ixt6,beierle_2x2_inv_alpha_8,beierle_2x2_inv_alpha_8-inv
2,LightweightGF22016,4,xr6,ixr4,xt10,ixt6,beierle_2x2_inv_alpha_9,beierle_2x2_inv_alpha_9-inv
2,LightweightGF22016,4,xr6,ixr4,xt6,ixt6,beierle_2x2_inv_alpha_10,beierle_2x2_inv_alpha_10-inv
2,LightweightGF22016,4,xr10,ixr6,xt8,ixt6,beierle_2x2_inv_alpha_11,beierle_2x2_inv_alpha_11-inv
2,LightweightGF22016,4,xr8,ixr4,xt6,ixt6,beierle_2x2_inv_alpha_12,beierle_2x2_inv_alpha_12-inv
2,LightweightGF22016,4,xr2,ixr6,xt8,ixt6,beierle_2x2_inv_alpha_13,beierle_2x2_inv_alpha_13-inv
2,LightweightGF22016,4,xr4,ixr6,xt10,ixt6,beierle_2x2_inv_alpha_14,beierle_2x2_inv_alpha_14-inv
2,LightweightGF22016,4,xr6,ixr8,xt8,ixt6,beierle_2x2_inv_alpha_15,beierle_2x2_inv_alpha_15-inv
2,LightweightGF22016,8,xr16,ixr2,xt26,ixt2,beierle_2x2_inv_alpha_2,beierle_2x2_inv_alpha_2-inv
2,LightweightGF22016,8,xr14,ixr4,xt26,ixt2,beierle_2x2_inv_alpha_3,beierle_2x2_inv_alpha_3-inv
2,LightweightGF22016,8,xr16,ixr2,xt26,ixt4,beierle_2x2_inv_alpha_4,beierle_2x2_inv_alpha_4-inv
2,LightweightGF22016,8,xr18,ixr4,xt28,ixt4,beierle_2x2_inv_alpha_5,beierle_2x2_inv_alpha_5-inv
2,LightweightGF22016,8,xr12,ixr4,xt24,ixt4,beierle_2x2_inv_alpha_6,beierle_2x2_inv_alpha_6-inv
