Dim,Paper,Field Power,XOR,iXOR,XTIME,iXTIME,ID \\ iID
2,LightweightGF22016,NA,NA,*,NA,*,mat:beierle-2x2 \\ mat:beierle-2x2-inv
3,LightweightGF22016,NA,NA,*,NA,*,mat:beierle-3x3 \\ mat:beierle-3x3-inv
4,LightweightGF22016,NA,NA,*,NA,*,mat:beierle-4x4 \\
5,LightweightGF22016,NA,NA,*,NA,*,mat:beierle-5x5 \\
6,LightweightGF22016,NA,NA,*,NA,*,mat:beierle-6x6 \\
7,LightweightGF22016,NA,NA,*,NA,*,mat:beierle-7x7 \\
8,LightweightGF22016,NA,NA,*,NA,*,mat:beierle-8x8 \\
3,LiuMeichengCirculant2016,8,6,45,3,57,mat:liu-sim-1\\mat:liu-sim-1-inv
4,LiuMeichengCirculant2016,8,20,52,32,96,mat:liu-sim-2\\mat:liu-sim-2-inv
5,LiuMeichengCirculant2016,8,30,50,45,110,mat:liu-sim-3\\mat:liu-sim-3-inv
6,LiuMeichengCirculant2016,8,60,90,108,198,mat:liu-sim-4\\mat:liu-sim-4-inv
7,LiuMeichengCirculant2016,8,70,182,126,273,mat:liu-sim-5\\mat:liu-sim-5-inv
8,LiuMeichengCirculant2016,8,120,232,200,408,mat:liu-sim-6\\mat:liu-sim-6-inv
3,LiuMeichengCirculant2016,4,6,21,3,21,mat:liu-sim-7\\mat:liu-sim-7-inv
4,LiuMeichengCirculant2016,4,16,32,20,40,mat:liu-sim-8\\mat:liu-sim-8-inv
5,LiuMeichengCirculant2016,4,30,40,40,50,mat:liu-sim-9\\mat:liu-sim-9-inv
6,LiuMeichengCirculant2016,4,54,72,60,84,mat:liu-sim-10\\mat:liu-sim-10-inv
8,LiuMeichengCirculant2016,8,96,320,176,432,mat:liu-sim-11\\mat:liu-sim-11-inv
8,LiuMeichengCirculant2016,8,104,232,152,376,mat:liu-sim-12\\mat:liu-sim-12-inv
8,LiuMeichengCirculant2016,8,120,192,208,384,mat:liu-sim-13\\mat:liu-sim-13-inv
8,LiuMeichengCirculant2016,8,112,248,184,360,mat:liu-sim-14\\mat:liu-sim-14-inv
8,LiuMeichengCirculant2016,8,120,216,176,392,mat:liu-sim-15\\mat:liu-sim-15-inv
8,LiuMeichengCirculant2016,8,120,296,192,432,mat:liu-sim-16\\mat:liu-sim-16-inv
3,LiuMeichengCirculant2016,8,24,*,45,*,mat:liu-sim-17
5,LiuMeichengCirculant2016,8,70,*,90,*,mat:liu-sim-18
6,LiuMeichengCirculant2016,8,84,*,126,*,mat:liu-sim-19
7,LiuMeichengCirculant2016,8,112,*,217,*,mat:liu-sim-20
7,LiuMeichengCirculant2016,8,98,*,189,*,mat:liu-sim-21
3,LiuMeichengCirculant2016,4,18,*,21,*,mat:liu-sim-22
5,LiuMeichengCirculant2016,4,30,*,30,*,mat:liu-sim-23
8,ToeplitzMDS2017,4,NA,*,NA,*,mat:sarkar-1\\mat:sarkar-1-inv
8,ToeplitzMDS2017,8,NA,*,NA,*,mat:sarkar-2\\mat:sarkar-2-inv
3,LwCircuits2018,NA,6,*,3,*,mat:duwal-1
3,LwCircuits2018,NA,9,*,9,*,mat:duwal-2
3,LwCircuits2018,NA,8,*,4,*,mat:duwal-3\\mat:duwal-3-inv
3,LwCircuits2018,NA,8,*,4,*,mat:duwal-4
3,LwCircuits2018,NA,6,*,3,*,mat:duwal-5
4,LwCircuits2018,NA,18,*,16,*,mat:duwal-6
4,LwCircuits2018,NA,---,*,---,*,mat:duwal-7
4,LwCircuits2018,NA,18,*,16,*,mat:duwal-8
4,LwCircuits2018,NA,22,*,18,*,mat:duwal-9
4,LwCircuits2018,NA,22,*,16,*,mat:duwal-10
4,LwCircuits2018,NA,18,*,16,*,mat:duwal-11
4,LwCircuits2018,NA,---,*,---,*,mat:duwal-12
4,LwCircuits2018,NA,20,*,14,*,mat:duwal-13 
4,LwCircuits2018,NA,---,*,---,*,mat:duwal-14
