Dim;Paper;Field Power;XOR \\ iXOR;XTIME \\ iXTIME;ID \\ iID
3;GuptaCirculant2015;4;10\\14;12\\16;\eqrefmat:gupta-pandey-2\\\eqrefmat:gupta-pandey-2-inv \\
4;GuptaCirculant2015;4;36\\24;36\\32;\eqrefmat:gupta-pandey-3\\\eqrefmat:gupta-pandey-3-inv \\
4;GuptaCirculant2015;4;24;32;\eqrefmat:gupta-pandey-3-made-involutory \\
3;GuptaCirculant2015;4;14\\18;16\\24;\eqrefmat:gupta-pandey-5\\\eqrefmat:gupta-pandey-5-inv \\
3;GuptaCirculant2015;4;20;24;\eqrefmat:gupta-pandey-6 \\
8;GuptaCirculant2015;16;72\\456;88\\824;\eqrefmat:gupta-pandey-IDEA\\\eqrefmat:gupta-pandey-IDEA-inv \\
2;GuptaCirculant2015;4;4\\4;4\\4;\eqrefmat:gupta-pandey-23\\\eqrefmat:gupta-pandey-23-inv \\
3;GuptaCirculant2015;8;30\\30;39\\39;\eqrefmat:gupta-pandey-24-1\\\eqrefmat:gupta-pandey-24-1-inv \\
6;GuptaCirculant2015;8;84\\84;120\\120;\eqrefmat:gupta-pandey-24-2\\\eqrefmat:gupta-pandey-24-2-inv \\
5;GuptaCirculant2015;8;70;90;\eqrefmat:gupta-pandey-31-1 \\
6;GuptaCirculant2015;8;94;126;\eqrefmat:gupta-pandey-31-2 \\
3;GuptaCirculant2015;8;30;39;\eqrefmat:gupta-pandey-34-1 \\
6;GuptaCirculant2015;8;84;120;\eqrefmat:gupta-pandey-34-2 \\
5;GuptaCirculant2015;8;70;90;\eqrefmat:gupta-pandey-36-1 \\
6;GuptaCirculant2015;8;84;126;\eqrefmat:gupta-pandey-36-2 \\
2;LightweightGF22016;NA;NA;NA;\eqrefmat:beierle-2x2 \\ \eqrefmat:beierle-2x2-inv \\
3;LightweightGF22016;NA;NA;NA;\eqrefmat:beierle-3x3 \\ \eqrefmat:beierle-3x3-inv \\
4;LightweightGF22016;NA;NA;NA;\eqrefmat:beierle-4x4 \\
5;LightweightGF22016;NA;NA;NA;\eqrefmat:beierle-5x5 \\
6;LightweightGF22016;NA;NA;NA;\eqrefmat:beierle-6x6 \\
7;LightweightGF22016;NA;NA;NA;\eqrefmat:beierle-7x7 \\
8;LightweightGF22016;NA;NA;NA;\eqrefmat:beierle-8x8 \\
