label,poly,det,xor,xtime,involutory,mds,inv_det,inv_xor,inv_xtime,inv_involutory,inv_mds
SQUARE,x^8 + x^7 + x^6 + x^5 + x^2 + x + 1,0x1,16,8,False,True,0x1,40,48,False,True
SQUARE,x^8 + x^7 + x^6 + x^5 + x^4 + x + 1,0x1,16,8,False,True,0x1,40,48,False,True
SQUARE,x^8 + x^7 + x^6 + x^5 + x^4 + x^2 + 1,0x1,16,8,False,True,0x1,40,48,False,True
SQUARE,x^8 + x^7 + x^6 + x^5 + x^4 + x^3 + 1,0x1,16,8,False,True,0x1,40,48,False,True
BKSQ,x^8 + x^4 + x^3 + x + 1,0x3,9,9,False,True,0xf6,57,63,False,True
BKSQ,x^8 + x^4 + x^3 + x^2 + 1,0x3,9,9,False,True,0xf4,48,63,False,True
BKSQ,x^8 + x^5 + x^3 + x + 1,0x3,9,9,False,True,0xe6,48,63,False,True
BKSQ,x^8 + x^5 + x^3 + x^2 + 1,0x3,9,9,False,True,0xe4,39,63,False,True
BKSQ,x^8 + x^5 + x^4 + x^3 + 1,0x3,9,9,False,True,0xe8,39,63,False,True
BKSQ,x^8 + x^5 + x^4 + x^3 + x^2 + x + 1,0x3,9,9,False,True,0xea,48,63,False,True
BKSQ,x^8 + x^6 + x^3 + x^2 + 1,0x3,9,9,False,True,0xc4,30,63,False,True
BKSQ,x^8 + x^6 + x^4 + x^3 + x^2 + x + 1,0x3,9,9,False,True,0xca,39,63,False,True
BKSQ,x^8 + x^6 + x^5 + x + 1,0x3,9,9,False,True,0xde,57,63,False,True
BKSQ,x^8 + x^6 + x^5 + x^2 + 1,0x3,9,9,False,True,0xdc,48,63,False,True
BKSQ,x^8 + x^6 + x^5 + x^3 + 1,0x3,9,9,False,True,0xd8,39,63,False,True
BKSQ,x^8 + x^6 + x^5 + x^4 + 1,0x3,9,9,False,True,0xd0,30,63,False,True
BKSQ,x^8 + x^6 + x^5 + x^4 + x^2 + x + 1,0x3,9,9,False,True,0xd2,39,63,False,True
BKSQ,x^8 + x^6 + x^5 + x^4 + x^3 + x + 1,0x3,9,9,False,True,0xd6,48,63,False,True
BKSQ,x^8 + x^7 + x^2 + x + 1,0x3,9,9,False,True,0x82,21,63,False,True
BKSQ,x^8 + x^7 + x^3 + x + 1,0x3,9,9,False,True,0x86,30,63,False,True
BKSQ,x^8 + x^7 + x^3 + x^2 + 1,0x3,9,9,False,True,0x84,21,63,False,True
BKSQ,x^8 + x^7 + x^4 + x^3 + x^2 + x + 1,0x3,9,9,False,True,0x8a,30,63,False,True
BKSQ,x^8 + x^7 + x^5 + x + 1,0x3,9,9,False,True,0x9e,48,63,False,True
BKSQ,x^8 + x^7 + x^5 + x^3 + 1,0x3,9,9,False,True,0x98,30,63,False,True
BKSQ,x^8 + x^7 + x^5 + x^4 + 1,0x3,9,9,False,True,0x90,21,63,False,True
BKSQ,x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + 1,0x3,9,9,False,True,0x94,30,63,False,True
BKSQ,x^8 + x^7 + x^6 + x + 1,0x3,9,9,False,True,0xbe,57,63,False,True
BKSQ,x^8 + x^7 + x^6 + x^3 + x^2 + x + 1,0x3,9,9,False,True,0xba,48,63,False,True
BKSQ,x^8 + x^7 + x^6 + x^4 + x^2 + x + 1,0x3,9,9,False,True,0xb2,39,63,False,True
BKSQ,x^8 + x^7 + x^6 + x^4 + x^3 + x^2 + 1,0x3,9,9,False,True,0xb4,39,63,False,True
BKSQ,x^8 + x^7 + x^6 + x^5 + x^2 + x + 1,0x3,9,9,False,True,0xa2,30,63,False,True
BKSQ,x^8 + x^7 + x^6 + x^5 + x^4 + x + 1,0x3,9,9,False,True,0xae,48,63,False,True
BKSQ,x^8 + x^7 + x^6 + x^5 + x^4 + x^2 + 1,0x3,9,9,False,True,0xac,39,63,False,True
BKSQ,x^8 + x^7 + x^6 + x^5 + x^4 + x^3 + 1,0x3,9,9,False,True,0xa8,30,63,False,True
Tavares,x^8 + x^4 + x^3 + x + 1,0x1,240,344,True,False,0x1,240,344,True,False
Tavares,x^8 + x^4 + x^3 + x^2 + 1,0x1,240,344,True,True,0x1,240,344,True,True
